Single Exchange,Curious Question
Question: Are you looking forward to anything soon? Answer: yes - a trip. Not just any trip either. This one is going to be a return trip to Thailand - our favourite of all time.,Do you enjoy cooking?
Question: Are you looking forward to anything soon? Answer: I don't really have anything big coming up. I'm attending a funeral next week and the school semester just started. There's a lot to stress about.,Did you go with someone or was it a solo trip?
Question: Are you looking forward to anything soon? Answer: I'm really looking forward to seeing my boyfriend soon. I'm inviting him over to my house and we are going to sleep together.,Did you have a good time?
Question: Are you looking forward to anything soon? Answer: My lettuces germinated and now they have 4 leaves. I am expecting them to grow to edible size. I am looking forward to having some harvesting soon.,Is gardening your favourite hobby?
"Question: Are you looking forward to anything soon? Answer: I am definitely looking forward to some time off work. I'm not even doing anything special nor going anywhere, just want to be able to move my headspace elsewhere.",What sector do you work into?
"Question: Are you looking forward to anything soon? Answer: Absolutely not. As I was saying before, I don't feel good. I continue to relax and I'm waiting for my husband",Did it help you feeling better?
Question: Are you looking forward to anything soon? Answer: Yeah I'm looking towards getting to spend my days off watching movies and shows. I've been meaning to catch up on watchlist.,Do you want to get hired after probation is passed?
Question: Are you looking forward to anything soon? Answer: I am looking forward to learning snowboarding. I am also looking forward to the weekends when I can kick back.,What will your business be about?
"Question: What was the most fun you’ve had recently? Answer: Probably going to a Carly Rae Jepsen concert. I hadn't been to a live show in a long time and it was so great to be surrounded by so many people, all singing and dancing along.",Are you bringing something special as housewarming present?
Question: What was the most fun you’ve had recently? Answer: The most fun I have had recently was hanging out with my young nephews and getting to be a kid for a bit. They had a lot of fun and so did I.,How have you two first met?
Question: What was the most fun you’ve had recently? Answer: watch tv and sit in my garden and play with my three cats. Also i am following some celebrities online to feel good,Have you ever thought of joining some hobby clubs to socialize with people?
Question: What was the most fun you’ve had recently? Answer: Watching my son open his Christmas presents and see all of his excitement was a lot of fun.  He really enjoyed it.,What do you think will make the long weekend in February exciting?
Question: What was the most fun you’ve had recently? Answer: I had a lot of fun playing Garfield-kart with my friends. The game is very poorly controlled and we had a lot of fun competing against each other.,What major are you graduating from?
Question: What was the most fun you’ve had recently? Answer: The most fun I have had was visiting London. It was been a long time since I have been able to be a tourist in the city again. ,What position do you play in soccer?
"Question: What was the most fun you’ve had recently? Answer: The most fund I had recently was a christmas party at work where everyone came out to enjoy food, music and dancing.",Do you usually get to travel a lot?
"Question: What was the most fun you’ve had recently? Answer: As I mentioned earlier, we did go to the waterpark overnight, thanks to a kind gift, so that was fun, and it was fun to see how excited the children were.  ",Where do you hope to go to in the summer for a few days?
"Question: What was the most fun you’ve had recently? Answer: Getaway to another province, experienced a snowstorm during the trip and it was a funny adventure definitely",What would you consider to be your biggest personal milestone coming up?
Question: What was the most fun you’ve had recently? Answer: The most fun I've had recently was probably on Christmas when I spent the holidays with my extended family. My uncle has a karaoke machine so we were singing as well as we ate many good foods. ,What will you do to celebrate your birthday?
Question: What was the most fun you’ve had recently? Answer: During christmas break I travel to see my family. I traveled with my girlfriend and cat to three different cities. ,Why don't you want to hang out at a desk any longer?
Question: What was the most fun you’ve had recently? Answer: We've had a lot of fun playing with our young nephew. This kid never runs out of energy - he's just going all the time.,What did you enjoy the most about Thailand the first time you went?
"Question: What was the most fun you’ve had recently? Answer: In Arkansas, we visited a place called Eureka Springs. It was a pretty cute town with decent food and a lot of tourist-y shops!",Condolecences for your loss. What do you usually like to do to reduce stress in these situations?
"Question: What was the most fun you’ve had recently? Answer: I went to a very nice restaurant with my friends, I celebrated my birthday and i also celebrated my sister's. It was very fun.",Is it the first time you two sleep together?
"Question: What was the most fun you’ve had recently? Answer: At the beginning the fish tank water quality was not good. The ammonia level reached about 1ppm. After I added biofilter, it is now close to 0.",What type of lettuce do you grow?
"Question: What was the most fun you’ve had recently? Answer: After a particularly trying day I was feeling kind of grumpy. My kids came over and asked me to play soccer with them, at first I didn't want to but they convinced me. I'm glad they did, that was the highlight of the past couple of weeks.",Where do you want to take your headspace?
Question: What was the most fun you’ve had recently? Answer: Watching a lot of series of different genres. The last was Alice in Borderland a series based on a novel ,Where is your husband?
Question: What was the most fun you’ve had recently? Answer: I think back to this most recent Christmas that I've gotten to spend time with my family. It was a nice break from work.,What is your favourite genre?
Question: What was the most fun you’ve had recently? Answer: I ski whenever I have time on weekends. I love snow sport. I am also leaning new stuff and trying to start my own business.,Why did you decide to take up snowboarding?
"Question: How have things been these past 2 weeks? Answer: Pretty good. I've been busy with my training program, so I've been at the gym a lot and not doing too many social things after the busy holiday season.",What is your favourite song 
Question: How have things been these past 2 weeks? Answer: Things have been great. I have found myself to be a little anxious but over all things have been positive. Work has been great and I cannot complain. How about you?,What kind of activities do you enjoy doing with your nephews?
Question: How have things been these past 2 weeks? Answer: dull and very boring. Feels so empty around me. I sleep wake up cook eat watch tv then go back to sleep,What celebrities make you feel good?
"Question: How have things been these past 2 weeks? Answer: Things haven't been too bad.  I spend a week with an 8 year old, so I'm definitely ready for adult interaction again.",What did you get for Christmas?
"Question: How have things been these past 2 weeks? Answer: Things have been good. I was on christmas break after working for almost a year, so had plenty of time to relax and spend time with family and friends. Now that school has started again, I am a bit more stressed",What other games are you interested in?
Question: How have things been these past 2 weeks? Answer: Things are great. I am settled back in work after Christmas and restarted at the gym which has helped my physically and mentally. ,What was your favorite part about London?
Question: How have things been these past 2 weeks? Answer: For the most part things have been boring and not much going on given the weather and that work is so busy at the moment.  ,Do you enjoy socializing at parties?
"Question: How have things been these past 2 weeks? Answer: The past two weeks have been fine - we are getting back into a regular scheadule after the Christmas break, so that can be a bit stressful to get everyone back on track, but once it is established then everything runs smoothly again until the next break, so that's nice.",Do you visit the waterpark often?
"Question: How have things been these past 2 weeks? Answer: Not much has been going on the past 2 weeks, just regular routine, and still recovering from all the energy used up from the holidays.",What did you enjoy most about the adventure?
"Question: How have things been these past 2 weeks? Answer: I think they've been okay. I really enjoyed my break from school, it was really relaxing and fun. I got to spend time with my family as well as relax before school started again.",Are you close to your family?
Question: How have things been these past 2 weeks? Answer: Pretty busy with work. I'm trying to stay busy so I can pass time before I go to college. I'm also trying to save money so I haven't done anything outside of my regular routine. ,Which cities did you visit?
Question: How have things been these past 2 weeks? Answer: The past two weeks have been a little shaky. Business has slowed significantly and that's always a reason for concern.,How old is your nephew?
"Question: How have things been these past 2 weeks? Answer: Rather stressful. Our flights home involved some pretty tight layovers, but we thankfully made it home on time. The semester just started and I still haven't heard back from an internship I applied for. If I don't hear back soon, I'll need to find another position so I can graduate on time.",What did you like most about your trip?
"Question: How have things been these past 2 weeks? Answer: Things have been okay lately. I had many things to do and it has been stressing me out a lot. Thankfully, I have more time to relax now.",What was the best part about celebrating your birthday with your friends?
"Question: How have things been these past 2 weeks? Answer: In the past 2 weeks, I have been really happy because I am able to solving some problems for my aquaponic system.",How did you solve the problem?
"Question: How have things been these past 2 weeks? Answer: Things have been hectic, both in my professional and personal life. Work has been very demanding and there appears to be no end to the crisis.",Do you play soccer with your kids regularly now?
"Question: How have things been these past 2 weeks? Answer: Not really fine, for health problem. I'm pregnant and I feel not good I'm very tired, I can't eat a lot of things",What is your favorite genre?
"Question: How have things been these past 2 weeks? Answer: They've been alright. Even though we've passed New Years day, it still feels very much the same to me. ",Did you enjoy your time with your family?
"Question: How have things been these past 2 weeks? Answer: It has been great. I work, study, enjoy skiing, and have good time with my family. And we are also preparing for the upcoming chinese new year.",What kind of business do you want to start?
"Question: If you had one extra hour every day, how would you spend it? Answer: I would spend it reading, I think. I never seem to have enough time to read, and it would be great to have an extra hour dedicated to that each day.",What are you training for?
"Question: If you had one extra hour every day, how would you spend it? Answer: Doing all the things that I cannot get done in my day. Done. Outstanding work tasks, crafting, organizing, etc.",What made you anxious?
"Question: If you had one extra hour every day, how would you spend it? Answer: sleeping. I have nothiing else to do. My children are away and I live alone. No interest and no friends",What do you like to watch on tv?
"Question: If you had one extra hour every day, how would you spend it? Answer: I would definitely spend an extra hour each day sleeping.  I generally don't get enough sleep and an extra hour would help a lot.",What kinds of things do you like to do with people your age?
"Question: If you had one extra hour every day, how would you spend it? Answer: If I had one extra hour every day, I would use to spend time practicing piano and guitar. If not that, I would spend time studying.",What do you do to relax?
"Question: If you had one extra hour every day, how would you spend it? Answer: I would spend it working out or playing soccer, bettering myself in any way possible so that I am in the best shape possible. ",How does the gym help you?
"Question: If you had one extra hour every day, how would you spend it? Answer: I'd spend it exercising, exploring new recipes, getting more information on sites for my upcoming trips, hanging out with my son and going to a movie or two.",What do you like to do for fun during this time?
"Question: If you had one extra hour every day, how would you spend it? Answer: Probably sleeping.... I should spend it cleaning, but it's unlikely.  If I had one extra hour to myself every day that would be different - an hour where everyone was out of the house and I could do anything I liked - I might do something creative, or read a book, or learn something new.  I find it difficult to concentrated on learning new things or creating things when the children (and husband) are all in the house being loud, demanding and needing things.  I would love some quite space to learn or to create!",How do you handle the stress of bringing things back on track?
"Question: If you had one extra hour every day, how would you spend it? Answer: Probably stay up later for watching movies or playing games, or family time. I used to like having the extra hour to sleep but I can also function sleep-deprived too ",What did you do over the holidays?
"Question: If you had one extra hour every day, how would you spend it? Answer: If I had one extra hour every day, I would probably spend it sleeping or relaxing. The extra hour would help me unwind after a long day.",What do you to relax?
"Question: If you had one extra hour every day, how would you spend it? Answer: Reading/doing a hobby. I work so much and I don't have a lot of time where I'm by myself, doing something I enjoy.",What are you going to college for?
"Question: If you had one extra hour every day, how would you spend it? Answer: Oh my - what a great question. If I had an extra hour in morning - I would add to the routines I already do - meditation and exercise.",How has this affected your personal life?
"Question: If you had one extra hour every day, how would you spend it? Answer: I'd spend it sleeping. I assume everyone would have an extra hour, so 25 hours a day would be a great addition to rest. If it were an extra hour of daylight, I'd probably spend more time outdoors.",What helps you relax in stressful times?
"Question: If you had one extra hour every day, how would you spend it? Answer: I'd probably use it to sleep more. Sleep is very important and we do not get enough of it, I believe.",What was stressing you out lately?
"Question: If you had one extra hour every day, how would you spend it? Answer: If I have one extra hour every day, I would do some exercises and watch some videos. I want to learn more about aquaponics.",How did you solve your problems?
"Question: If you had one extra hour every day, how would you spend it? Answer: Playing video games, or watching movies or reading a book, just some relaxation time for myself. I don't seem to have the time for that anymore.",What kind of crisis are you facing?
"Question: If you had one extra hour every day, how would you spend it? Answer: I would love to stay more with my husband, without preoccupation connected to his work. Going around togheter",What is keping you motivated during this time?
"Question: If you had one extra hour every day, how would you spend it? Answer: I'd just spend it catching up on movies and tv shows. Perhaps even clean up around the house and do some errands.",Why does everything feel the same?
"Question: If you had one extra hour every day, how would you spend it? Answer: I would exercise, swim, and learn new skills. I will also try to search for new business ideas and build my own business.",How does your family prepare to celebrate the chinese new year?
,What kinds of books do you enjoy reading?
,What would you do to relax?
,What would you do to relax?
,Are all of your hobbies connected to your children?
,What keeps you from getting enough sleep?
,What keeps you from getting enough sleep?
,What keeps you from getting enough sleep?
,Do you find playing the piano and guitar to be relaxing?
,What motivates you to stay in good shape?
,What are some of your upcoming trips?
,What kinds of things do you wish to learn to spend your time more creatively?
,What are some of your hobbies?
,Would you add any other activities during this time?
,What keeps you from resting more at the moment?
,What got you interested in aquaponics?
,What keeps you from finding time for yourself?
,What would you like to do together?
,What kinds of movies do you enjoy?
,What kinds of new skills would you be interested in learning?
